Points:0, Points:1, Points:2, scalars
0.43281E+03, -0.68358E+02, 0.98499E+03, 1
0.93964E+03, 0.30983E+02, 0.96082E+03, 1
0.57502E+03, 0.15496E+03, 0.10215E+04, 1
0.83790E+03, 0.38683E+02, 0.10315E+04, 1
0.87467E+03, 0.19101E+02, 0.95379E+03, 1
0.81297E+03, 0.17688E+03, 0.10443E+04, 1
0.93518E+03, 0.15995E+03, 0.97021E+03, 1
0.66075E+03, 0.24582E+03, 0.10198E+04, 1
0.33339E+03, -0.30024E+02, 0.93683E+03, 1
0.80636E+03, 0.47873E+02, 0.10144E+04, 1
0.95913E+03, 0.54574E+01, 0.95035E+03, 1
0.95514E+03, -0.10479E+02, 0.10488E+04, 1
0.96304E+03, 0.19000E+03, 0.95104E+03, 1
0.83780E+03, -0.20319E+02, 0.95440E+03, 1
0.36974E+03, -0.67879E+02, 0.98290E+03, 1
0.23762E+03, -0.19870E+02, 0.10671E+04, 1
0.79655E+03, -0.44391E+02, 0.10229E+04, 1
0.63002E+03, 0.15128E+03, 0.10110E+04, 1
0.64089E+03, 0.15062E+03, 0.99249E+03, 1
0.27919E+03, -0.21416E+02, 0.10666E+04, 1
0.40603E+03, 0.55134E+02, 0.10431E+04, 1
0.99052E+03, 0.39552E+02, 0.10305E+04, 1
0.30202E+03, 0.47682E+02, 0.10512E+04, 1
0.81392E+03, 0.18954E+03, 0.95119E+03, 1
0.59954E+03, 0.23075E+03, 0.10394E+04, 1
0.96711E+03, -0.81462E+01, 0.10493E+04, 1
0.39666E+03, -0.13161E+01, 0.93005E+03, 1
0.74072E+03, 0.16977E+03, 0.10397E+04, 1
0.78431E+03, 0.45739E+02, 0.10201E+04, 1
0.89783E+03, 0.43482E+02, 0.10245E+04, 1
0.60262E+03, 0.18365E+03, 0.95282E+03, 1
0.74918E+03, -0.49240E+02, 0.99180E+03, 1
0.70597E+03, -0.36132E+02, 0.10344E+04, 1
0.39179E+03, 0.41383E+02, 0.94362E+03, 1
0.49557E+03, 0.19323E+02, 0.10672E+04, 1
0.83919E+03, -0.31745E+01, 0.95016E+03, 1
