Points:0, Points:1, Points:2, scalars
0.98250E+03, 0.11500E+02, 0.85575E+03, 1
0.97229E+03, -0.32402E+03, 0.96484E+03, 1
0.12081E+04, -0.26500E+02, 0.11172E+04, 1
0.10577E+04, -0.52100E+02, 0.10264E+04, 1
0.11914E+04, -0.36700E+02, 0.11379E+04, 1
0.13008E+04, -0.13400E+02, 0.11237E+04, 1
0.12204E+04, 0.37986E+03, 0.11047E+04, 1
0.10040E+04, -0.35700E+02, 0.91544E+03, 1
0.10071E+04, 0.33839E+03, 0.10090E+04, 1
0.13917E+04, 0.54000E+02, 0.11300E+04, 1
0.94020E+03, -0.29250E+03, 0.87570E+03, 1
0.10285E+04, -0.26263E+03, 0.68550E+03, 1
0.10346E+04, -0.36667E+03, 0.10386E+04, 1
0.98360E+03, -0.36700E+02, 0.84386E+03, 1
0.12213E+04, -0.52700E+02, 0.11105E+04, 1
0.11180E+04, 0.19000E+02, 0.11236E+04, 1
0.10133E+04, -0.42800E+02, 0.87915E+03, 1
0.13869E+04, -0.47400E+02, 0.10929E+04, 1
0.10340E+04, 0.36998E+03, 0.10848E+04, 1
0.12223E+04, 0.52700E+02, 0.11197E+04, 1
0.10691E+04, 0.52700E+02, 0.10077E+04, 1
0.10006E+04, 0.35051E+03, 0.10035E+04, 1
0.10565E+04, 0.37464E+03, 0.10807E+04, 1
0.10814E+04, 0.19000E+02, 0.10576E+04, 1
0.94020E+03, -0.29250E+03, 0.71312E+03, 1
0.11253E+04, -0.36312E+03, 0.11180E+04, 1
0.98250E+03, -0.11500E+02, 0.78120E+03, 1
0.12210E+04, -0.41356E+03, 0.11052E+04, 1
0.10890E+04, -0.46700E+02, 0.11001E+04, 1
0.10022E+04, 0.60000E+01, 0.91163E+03, 1
0.95741E+03, 0.34210E+03, 0.93775E+03, 1
0.10233E+04, -0.33443E+03, 0.10453E+04, 1
0.93290E+03, 0.31090E+03, 0.69358E+03, 1
0.95000E+03, -0.29030E+03, 0.69638E+03, 1
0.93290E+03, -0.31090E+03, 0.83335E+03, 1
0.12790E+04, -0.50026E+02, 0.11047E+04, 1
0.95280E+03, -0.31860E+03, 0.84288E+03, 1
0.96680E+03, 0.30630E+03, 0.69185E+03, 1
0.94390E+03, 0.32330E+03, 0.89175E+03, 1
0.12872E+04, -0.33600E+02, 0.10929E+04, 1
0.10451E+04, -0.33534E+03, 0.10961E+04, 1
0.94776E+03, 0.33854E+03, 0.93822E+03, 1
0.12796E+04, -0.29931E+02, 0.10941E+04, 1
0.98360E+03, -0.46700E+02, 0.70091E+03, 1
0.10804E+04, -0.46700E+02, 0.10846E+04, 1
0.10520E+04, 0.52100E+02, 0.10161E+04, 1
0.10544E+04, -0.42300E+02, 0.10196E+04, 1
0.96800E+03, 0.29630E+03, 0.68247E+03, 1
0.10482E+04, -0.26900E+02, 0.10277E+04, 1
0.12101E+04, 0.39712E+03, 0.10955E+04, 1
0.13877E+04, 0.54000E+02, 0.11300E+04, 1
0.11841E+04, 0.38378E+03, 0.10989E+04, 1
0.10397E+04, 0.32301E+03, 0.10799E+04, 1
0.13270E+04, -0.41450E+03, 0.11300E+04, 1
0.12558E+04, -0.40278E+03, 0.11420E+04, 1
0.10424E+04, 0.34040E+03, 0.11126E+04, 1
0.10532E+04, 0.35346E+03, 0.11201E+04, 1
0.10052E+04, -0.12900E+02, 0.73367E+03, 1
0.99820E+03, -0.10470E+03, 0.71293E+03, 1
0.13066E+04, 0.42514E+03, 0.10929E+04, 1
0.10425E+04, -0.52700E+02, 0.94036E+03, 1
0.11353E+04, -0.28000E+02, 0.11287E+04, 1
0.13338E+04, -0.41696E+03, 0.11300E+04, 1
0.94700E+03, 0.29970E+03, 0.87679E+03, 1
0.99200E+03, 0.52100E+02, 0.74902E+03, 1
0.10083E+04, 0.34667E+03, 0.10298E+04, 1
0.10690E+04, -0.34264E+03, 0.11180E+04, 1
0.99200E+03, -0.52100E+02, 0.80150E+03, 1
0.11043E+04, -0.37223E+03, 0.11005E+04, 1
0.13339E+04, 0.41703E+03, 0.11300E+04, 1
0.98300E+03, 0.26900E+02, 0.78114E+03, 1
0.12255E+04, 0.52100E+02, 0.11295E+04, 1
0.10678E+04, 0.38224E+03, 0.11316E+04, 1
0.98360E+03, 0.46700E+02, 0.70643E+03, 1
0.10035E+04, -0.43600E+02, 0.68801E+03, 1
0.95080E+03, -0.30800E+03, 0.74709E+03, 1
0.10230E+04, 0.44000E+02, 0.79452E+03, 1
0.96260E+03, -0.34050E+03, 0.80602E+03, 1
0.12885E+04, -0.41536E+03, 0.11052E+04, 1
0.11324E+04, -0.35601E+03, 0.11013E+04, 1
0.10360E+04, 0.19000E+02, 0.97569E+03, 1
0.13869E+04, 0.64400E+02, 0.11300E+04, 1
0.13079E+04, 0.54000E+02, 0.11300E+04, 1
0.14075E+04, 0.50400E+02, 0.11052E+04, 1
0.94250E+03, 0.31320E+03, 0.89878E+03, 1
0.95280E+03, 0.31860E+03, 0.80116E+03, 1
0.99200E+03, 0.52100E+02, 0.79339E+03, 1
0.12371E+04, -0.36700E+02, 0.11379E+04, 1
0.96540E+03, 0.29597E+03, 0.93734E+03, 1
0.10016E+04, 0.19000E+02, 0.93376E+03, 1
0.10115E+04, -0.33845E+03, 0.98209E+03, 1
0.11631E+04, -0.36700E+02, 0.11379E+04, 1
0.11334E+04, -0.19000E+02, 0.11239E+04, 1
0.94900E+03, 0.33170E+03, 0.79490E+03, 1
0.10950E+04, -0.28000E+02, 0.10921E+04, 1
0.13216E+04, 0.19100E+02, 0.11052E+04, 1
0.10909E+04, -0.52700E+02, 0.10660E+04, 1
0.92720E+03, 0.32520E+03, 0.71577E+03, 1
0.12465E+04, 0.40796E+03, 0.11300E+04, 1
0.10018E+04, 0.52700E+02, 0.68694E+03, 1
0.11827E+04, 0.40820E+03, 0.11201E+04, 1
0.94390E+03, -0.32330E+03, 0.87592E+03, 1
0.97630E+03, 0.30860E+03, 0.80866E+03, 1
0.10793E+04, -0.37249E+03, 0.11239E+04, 1
0.10920E+04, -0.19000E+02, 0.10767E+04, 1
0.93680E+03, -0.30190E+03, 0.70840E+03, 1
0.10144E+04, -0.33121E+03, 0.10283E+04, 1
0.12119E+04, -0.28000E+02, 0.11287E+04, 1
0.11178E+04, -0.52700E+02, 0.10762E+04, 1
0.96900E+03, -0.32300E+03, 0.85446E+03, 1
0.98360E+03, -0.46700E+02, 0.82895E+03, 1
0.10793E+04, 0.38294E+03, 0.11005E+04, 1
0.99200E+03, 0.52100E+02, 0.84110E+03, 1
0.12114E+04, 0.37653E+03, 0.11139E+04, 1
0.11899E+04, -0.38489E+03, 0.10999E+04, 1
0.99997E+03, 0.46700E+02, 0.93958E+03, 1
0.10890E+04, 0.42800E+02, 0.10388E+04, 1
