Points:0, Points:1, Points:2, scalars
0.15881E+04, -0.40500E+02, -0.98117E+03, 1
0.15322E+04, 0.66730E+02, -0.96250E+03, 1
0.14748E+04, 0.37084E+03, -0.96250E+03, 1
0.14672E+04, 0.45254E+03, -0.96250E+03, 1
0.14545E+04, 0.32836E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.97616E+03, 1
0.15559E+04, 0.23933E+02, -0.96250E+03, 1
0.14839E+04, 0.35302E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10513E+04, 1
0.14983E+04, 0.47859E+03, -0.96250E+03, 1
0.15629E+04, 0.11293E+02, -0.96250E+03, 1
0.15331E+04, 0.65023E+02, -0.96250E+03, 1
0.15872E+04, -0.38341E+02, -0.96250E+03, 1
0.14253E+04, 0.30391E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11127E+04, 1
0.15881E+04, -0.40500E+02, -0.96267E+03, 1
0.14360E+04, 0.42632E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11114E+04, 1
0.15084E+04, 0.48710E+03, -0.11120E+04, 1
0.14962E+04, 0.47686E+03, -0.96250E+03, 1
0.14696E+04, 0.45451E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10471E+04, 1
0.14250E+04, 0.26001E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.99771E+03, 1
0.14440E+04, 0.22568E+03, -0.96250E+03, 1
0.14955E+04, 0.13290E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10189E+04, 1
0.14279E+04, 0.25479E+03, -0.96250E+03, 1
0.14216E+04, 0.30075E+03, -0.96250E+03, 1
0.14329E+04, 0.42077E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.98910E+03, 1
0.14681E+04, 0.18233E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.98561E+03, 1
0.14318E+04, 0.24776E+03, -0.96250E+03, 1
0.14518E+04, 0.21167E+03, -0.96250E+03, 1
0.14365E+04, 0.42674E+03, -0.96250E+03, 1
0.14448E+04, 0.22422E+03, -0.96250E+03, 1
0.14285E+04, 0.25373E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.96324E+03, 1
0.15084E+04, 0.48710E+03, -0.96311E+03, 1
0.14334E+04, 0.24491E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.98674E+03, 1
0.15084E+04, 0.48710E+03, -0.98971E+03, 1
0.14747E+04, 0.34534E+03, -0.96250E+03, 1
0.14269E+04, 0.30523E+03, -0.96250E+03, 1
0.14708E+04, 0.45554E+03, -0.96250E+03, 1
0.14475E+04, 0.32248E+03, -0.96250E+03, 1
0.14216E+04, 0.26610E+03, -0.96250E+03, 1
