Points:0, Points:1, Points:2, scalars
0.15878E+04, -0.37519E+02, -0.10330E+04, 1
0.15112E+04, 0.10891E+03, -0.96044E+03, 1
0.14634E+04, 0.38009E+03, -0.96361E+03, 1
0.14610E+04, 0.45118E+03, -0.96243E+03, 1
0.14426E+04, 0.32150E+03, -0.96080E+03, 1
0.15908E+04, -0.41763E+02, -0.10004E+04, 1
0.14618E+04, 0.19208E+03, -0.96540E+03, 1
0.14148E+04, 0.29505E+03, -0.95959E+03, 1
0.15055E+04, 0.48745E+03, -0.11203E+04, 1
0.14990E+04, 0.47684E+03, -0.96023E+03, 1
0.14885E+04, 0.15077E+03, -0.96091E+03, 1
0.14888E+04, 0.14231E+03, -0.96519E+03, 1
0.15843E+04, -0.37430E+02, -0.96444E+03, 1
0.14868E+04, 0.35514E+03, -0.95952E+03, 1
0.15113E+04, 0.48703E+03, -0.10751E+04, 1
0.15911E+04, -0.39937E+02, -0.99689E+03, 1
0.14890E+04, 0.47036E+03, -0.95952E+03, 1
0.15055E+04, 0.48741E+03, -0.10651E+04, 1
0.15056E+04, 0.48620E+03, -0.97697E+03, 1
0.14826E+04, 0.46175E+03, -0.96184E+03, 1
0.15010E+04, 0.48194E+03, -0.95964E+03, 1
0.15085E+04, 0.48414E+03, -0.10771E+04, 1
0.15597E+04, 0.18276E+02, -0.95964E+03, 1
0.15897E+04, -0.37969E+02, -0.98835E+03, 1
0.14585E+04, 0.19414E+03, -0.96118E+03, 1
0.15740E+04, -0.11351E+02, -0.95981E+03, 1
0.15873E+04, -0.37638E+02, -0.10240E+04, 1
0.15740E+04, -0.11730E+02, -0.96502E+03, 1
0.14221E+04, 0.29895E+03, -0.96495E+03, 1
0.14302E+04, 0.41940E+03, -0.96207E+03, 1
0.15107E+04, 0.48524E+03, -0.96767E+03, 1
0.14139E+04, 0.27431E+03, -0.96166E+03, 1
0.15062E+04, 0.48506E+03, -0.10809E+04, 1
0.15202E+04, 0.90512E+02, -0.95977E+03, 1
0.15345E+04, 0.60836E+02, -0.95967E+03, 1
0.14792E+04, 0.46271E+03, -0.96550E+03, 1
0.15585E+04, 0.25178E+02, -0.96204E+03, 1
0.15720E+04, -0.40069E+01, -0.95963E+03, 1
0.15067E+04, 0.48460E+03, -0.98704E+03, 1
