Points:0, Points:1, Points:2, scalars
0.15878E+04, -0.37756E+02, -0.10330E+04, 1
0.15110E+04, 0.10878E+03, -0.96071E+03, 1
0.14636E+04, 0.38029E+03, -0.96348E+03, 1
0.14615E+04, 0.45060E+03, -0.96245E+03, 1
0.14431E+04, 0.32087E+03, -0.96138E+03, 1
0.15907E+04, -0.41690E+02, -0.10004E+04, 1
0.14618E+04, 0.19210E+03, -0.96523E+03, 1
0.14148E+04, 0.29506E+03, -0.96187E+03, 1
0.15063E+04, 0.48735E+03, -0.11203E+04, 1
0.14983E+04, 0.47772E+03, -0.96165E+03, 1
0.14884E+04, 0.15072E+03, -0.96097E+03, 1
0.14889E+04, 0.14239E+03, -0.96485E+03, 1
0.15852E+04, -0.37048E+02, -0.96360E+03, 1
0.14868E+04, 0.35516E+03, -0.95984E+03, 1
0.15096E+04, 0.48707E+03, -0.10751E+04, 1
0.15911E+04, -0.39938E+02, -0.99689E+03, 1
0.14890E+04, 0.47037E+03, -0.95960E+03, 1
0.15071E+04, 0.48724E+03, -0.10651E+04, 1
0.15072E+04, 0.48672E+03, -0.97697E+03, 1
0.14815E+04, 0.46304E+03, -0.96223E+03, 1
0.15012E+04, 0.48177E+03, -0.96044E+03, 1
0.15085E+04, 0.48491E+03, -0.10771E+04, 1
0.15593E+04, 0.18091E+02, -0.96157E+03, 1
0.15894E+04, -0.38369E+02, -0.98835E+03, 1
0.14597E+04, 0.19481E+03, -0.96188E+03, 1
0.15743E+04, -0.11192E+02, -0.96052E+03, 1
0.15875E+04, -0.38419E+02, -0.10240E+04, 1
0.15748E+04, -0.11266E+02, -0.96339E+03, 1
0.14220E+04, 0.29906E+03, -0.96475E+03, 1
0.14321E+04, 0.42094E+03, -0.96243E+03, 1
0.15106E+04, 0.48537E+03, -0.96767E+03, 1
0.14148E+04, 0.27484E+03, -0.96199E+03, 1
0.15063E+04, 0.48519E+03, -0.10809E+04, 1
0.15196E+04, 0.90203E+02, -0.96145E+03, 1
0.15349E+04, 0.61015E+02, -0.96102E+03, 1
0.14792E+04, 0.46271E+03, -0.96541E+03, 1
0.15572E+04, 0.24447E+02, -0.96228E+03, 1
0.15717E+04, -0.41817E+01, -0.96148E+03, 1
0.15067E+04, 0.48460E+03, -0.98704E+03, 1
0.15094E+04, 0.48427E+03, -0.11308E+04, 1
0.14943E+04, 0.13527E+03, -0.96366E+03, 1
0.15067E+04, 0.48931E+03, -0.10917E+04, 1
0.15056E+04, 0.48722E+03, -0.10476E+04, 1
0.14622E+04, 0.33494E+03, -0.96370E+03, 1
0.14704E+04, 0.33835E+03, -0.96288E+03, 1
0.14320E+04, 0.42197E+03, -0.96055E+03, 1
0.14738E+04, 0.34210E+03, -0.96352E+03, 1
0.14277E+04, 0.25368E+03, -0.96206E+03, 1
0.14628E+04, 0.38396E+03, -0.96453E+03, 1
0.14916E+04, 0.13892E+03, -0.96490E+03, 1
0.14620E+04, 0.44898E+03, -0.96144E+03, 1
0.14942E+04, 0.13356E+03, -0.96249E+03, 1
0.14476E+04, 0.22216E+03, -0.96250E+03, 1
0.14297E+04, 0.24633E+03, -0.96357E+03, 1
0.14426E+04, 0.23052E+03, -0.96147E+03, 1
0.15792E+04, -0.20006E+02, -0.96350E+03, 1
0.15080E+04, 0.48664E+03, -0.10215E+04, 1
0.15865E+04, -0.40878E+02, -0.97132E+03, 1
0.15898E+04, -0.41990E+02, -0.98487E+03, 1
0.14717E+04, 0.17168E+03, -0.96403E+03, 1
0.15080E+04, 0.48581E+03, -0.10896E+04, 1
0.14858E+04, 0.35567E+03, -0.96265E+03, 1
0.15307E+04, 0.69505E+02, -0.96536E+03, 1
0.15091E+04, 0.48720E+03, -0.11443E+04, 1
0.14924E+04, 0.47464E+03, -0.96418E+03, 1
0.15073E+04, 0.48548E+03, -0.10029E+04, 1
0.15404E+04, 0.52025E+02, -0.96249E+03, 1
0.14709E+04, 0.45411E+03, -0.96451E+03, 1
0.14297E+04, 0.25428E+03, -0.96148E+03, 1
0.14213E+04, 0.26333E+03, -0.96018E+03, 1
0.14688E+04, 0.37693E+03, -0.96050E+03, 1
